LookupType|LookupCode|DisplaySequence|EnabledFlag|StartDateActive|EndDateActive|Meaning|Description|Tag
GGS_PRODUCT_FAMILY|125||Y|||125||
GGS_PRODUCT_FAMILY|1250||Y|||1250||
GGS_PRODUCT_FAMILY|1600||Y|||1600||
GGS_PRODUCT_FAMILY|8672||Y|||8672||
GGS_PRODUCT_FAMILY|2XXX||Y|||2XXX||
GGS_PRODUCT_FAMILY|ACO||Y|||ACO||
GGS_PRODUCT_FAMILY|B43||Y|||B43||
GGS_PRODUCT_FAMILY|B44||Y|||B44||
GGS_PRODUCT_FAMILY|B46||Y|||B46||
GGS_PRODUCT_FAMILY|B47||Y|||B47||
GGS_PRODUCT_FAMILY|B48||Y|||B48||
GGS_PRODUCT_FAMILY|B49||Y|||B49||
GGS_PRODUCT_FAMILY|B57||Y|||B57||
GGS_PRODUCT_FAMILY|B65||Y|||B65||
GGS_PRODUCT_FAMILY|B85||Y|||B85||
GGS_PRODUCT_FAMILY|B87||Y|||B87||
GGS_PRODUCT_FAMILY|BAMA||Y|||BAMA||
GGS_PRODUCT_FAMILY|BBA||Y|||BBA||
GGS_PRODUCT_FAMILY|BRM||Y|||BRM||
GGS_PRODUCT_FAMILY|BV||Y|||BV||
GGS_PRODUCT_FAMILY|CASHSTAR||Y|||CASHSTAR||
GGS_PRODUCT_FAMILY|CC||Y|||CC||
GGS_PRODUCT_FAMILY|CC11**||Y|||CC11**||
GGS_PRODUCT_FAMILY|CC13**||Y|||CC13**||
GGS_PRODUCT_FAMILY|CCDM||Y|||CCDM||
GGS_PRODUCT_FAMILY|CCE||Y|||CCE||
GGS_PRODUCT_FAMILY|CCR10||Y|||CCR10||
GGS_PRODUCT_FAMILY|CDS||Y|||CDS||
GGS_PRODUCT_FAMILY|CI-30||Y|||CI-30||
GGS_PRODUCT_FAMILY|CINEO||Y|||CINEO||
GGS_PRODUCT_FAMILY|CN||Y|||CN||
GGS_PRODUCT_FAMILY|COININ||Y|||COININ||
GGS_PRODUCT_FAMILY|COM||Y|||COM||
GGS_PRODUCT_FAMILY|CP11||Y|||CP11||
GGS_PRODUCT_FAMILY|CS33**||Y|||CS33**||
GGS_PRODUCT_FAMILY|CS35**||Y|||CS35**||
GGS_PRODUCT_FAMILY|D134||Y|||D134||
GGS_PRODUCT_FAMILY|D5X||Y|||D5X||
GGS_PRODUCT_FAMILY|DAYSAFE||Y|||DAYSAFE||
GGS_PRODUCT_FAMILY|DE||Y|||DE||
GGS_PRODUCT_FAMILY|DN||Y|||DN||
GGS_PRODUCT_FAMILY|DSS||Y|||DSS||
GGS_PRODUCT_FAMILY|EMT||Y|||EMT||
GGS_PRODUCT_FAMILY|ENC||Y|||ENC||
GGS_PRODUCT_FAMILY|ERBM10||Y|||ERBM10||
GGS_PRODUCT_FAMILY|EUROPACK||Y|||EUROPACK||
GGS_PRODUCT_FAMILY|EV86||Y|||EV86||
GGS_PRODUCT_FAMILY|FUJIPROD||Y|||FUJIPROD||
GGS_PRODUCT_FAMILY|GBA100||Y|||GBA100||
GGS_PRODUCT_FAMILY|GBM||Y|||GBM||
GGS_PRODUCT_FAMILY|GBRU||Y|||GBRU||
GGS_PRODUCT_FAMILY|GDB10||Y|||GDB10||
